2024-12-04 13:47:26,447 - __main__ - INFO - CUDA Environment:
2024-12-04 13:47:26,448 - __main__ - INFO - {'cuda_available': True, 'cuda_version': '11.8', 'gpu_name': 'NVIDIA GeForce RTX 4060 Laptop GPU', 'pytorch_version': '2.0.1', 'python_version': '3.10.15 | packaged by conda-forge | (main, Oct 16 2024, 01:15:49) [MSC v.1941 64 bit (AMD64)]', 'gpu_count': 1, 'current_device': 0, 'memory_allocated': '0.00 GB', 'memory_cached': '0.00 GB'}
2024-12-04 13:47:26,448 - __main__ - INFO - Loading and preprocessing data...
2024-12-04 13:47:27,147 - __main__ - INFO - Starting training...
2024-12-04 13:47:27,178 - training.trainer - INFO - Starting training...
2024-12-04 13:47:40,443 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,475 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,507 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,536 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,561 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,594 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,627 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,662 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,685 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,720 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,751 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,785 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,813 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,845 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,879 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,913 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,943 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:40,972 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,007 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,058 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,083 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,110 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,138 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,162 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,192 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:41,220 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
